Coil;H12;W12;T5;T12;C;Mn;Si;V6;V7;V8;V9;V10;V11;V12;Sh7;Sh8;Sh9;Sh10;Sh11;Sh12;Ls;dH;P6;P7;P8;P9;P10;P11;P12;Lcamp;dH;R2;Clyn;Caim;Cfact;AntiPeel;Eddr;Edop;Axe;D10bot;D10top;D11bot;D11top;D12bot;D12top
218040;3,93;1276;1050;880;0,06;0,33;0,01;97;139;202;282;373;474;561;0;0;0;0;0;0;603,875;59;1873;1850;1721;1654;1343;1259;861;;74;0,93;9;35;69;0;131,04;99,18;-15;772,2;772,7;807,5;807,8;820,65;820,8
218041;3,91;1274;1042;881;0,06;0,33;0,01;107;155;226;313;412;521;617;-60;-59;-49;-40;-30;-20;613,404;35;1943;2151;1853;1677;1557;1441;939;0,6;50;0,91;13;35;41;0;150,77;87,89;-8;772,2;772,7;807,5;807,8;820,65;820,8
218042;3,9;1272;1052;878;0,06;0,33;0,01;102;148;214;295;393;502;593;-88;-64;-64;-77;-33;-30;613,589;27;1990;2065;1713;1707;1590;1488;950;1,217;46;0,92;12;35;38;0;148,94;66,4;-10;772,2;772,7;807,5;807,8;820,65;820,8
218043;3,89;1272;1059;881;0,06;0,33;0,01;102;152;217;296;391;493;580;-28;-47;-64;-77;-33;-30;609,452;40;2046;1972;1569;1576;1462;1390;933;1,824;55;0,95;12;35;46;0;165,47;73,3;-7;772,2;772,7;807,5;807,8;820,65;820,8
218044;3,9;1272;1059;877;0,06;0,33;0,01;101;150;216;293;386;487;576;-65;-49;-74;-77;-40;-10;613,44;40;2000;1968;1521;1597;1505;1433;953;2,44;55;0,96;17;35;45;0;142,48;74,65;-11;772,2;772,7;807,5;807,8;820,65;820,8
218045;3,9;1273;1050;879;0,06;0,33;0,01;110;166;238;321;420;525;620;-88;-64;-74;-77;-40;-10;609,746;33;2034;2025;1579;1604;1516;1450;949;3,048;55;0,95;25;35;40;0;155,29;76,15;-3;772,2;772,7;807,5;807,8;820,65;820,8
218046;3,9;1314;1059;877;0,04;0,25;0,018;110;162;229;309;408;516;615;-85;-54;-74;-77;-40;-10;620,947;33;2034;1951;1558;1634;1621;1538;956;3,664;49;0,95;17;35;38;0;173,48;104,06;-4;772,2;772,7;807,5;807,8;820,65;820,8
218047;3,9;1312;1068;879;0,04;0,25;0,018;105;155;220;300;397;504;590;-88;-48;-74;-77;-40;-10;625,475;28;2019;1939;1528;1657;1620;1536;946;4,277;45;0,94;17;35;35;0;186,2;92,18;-3;772,2;772,7;807,5;807,8;820,65;820,8
218048;3,9;1315;1074;877;0,04;0,25;0,018;102;151;215;290;387;493;575;-88;-60;-74;-77;-40;9;640,848;30;1972;1987;1507;1689;1625;1536;958;4,91;48;0,95;19;35;38;0;144,04;98,42;-13;772,2;772,7;807,5;807,8;820,65;820,8
218049;3,93;1337;1079;875;0,056;0,18;0,022;100;147;208;281;375;481;560;-88;-49;-84;-84,98;-44,98;0;561,929;26;2032;1944;1659;1606;1553;1478;958;5,545;53;0,94;27;35;37;0;171,04;110,81;-3;772,2;772,7;807,5;807,8;820,65;820,8
218050;3,9;1336;1085;873;0,056;0,18;0,022;98;152;224;303;387;477;548;-84;-47;-84;-85;-44,98;0;566,327;27;2096;2024;1731;1658;1376;1366;908;6,677;52;0,94;31;35;31;0;153,92;109,9;-9;772,2;772,7;807,5;807,8;820,65;820,8
218051;3,9;1336;1077;875;0,056;0,18;0,022;105;162;241;327;416;509;570;-48;-48;-84;-85;-44,98;-15;563,865;28;2067;1994;1680;1608;1278;1322;868;6,113;49;0,95;25;35;35;0;154,24;117,74;-7;772,2;772,7;807,5;807,8;820,65;820,8
218052;3,91;1352;1096;874;0,056;0,18;0,022;99;152;223;299;381;469;532;-9;-42;-84;-85;-57;20;559,317;36;2069;2018;1670;1592;1481;1496;915;7,243;51;0,94;17;35;42;0;185,19;86,46;-2;772,2;772,7;807,5;807,8;820,65;820,8
218053;3,9;1352;1091;874;0,056;0,18;0,022;98;151;221;298;385;476;538;-50;-49;-84;-85;-57;0;559,336;34;2074;2107;1670;1694;1452;1449;910;7,802;48;0,93;20;35;37;0;190,93;90,49;-6;772,2;772,7;807,5;807,8;820,65;820,8
218054;3,9;1352;1085;871;0,056;0,18;0,022;101;156;229;307;395;490;554;-50;-64;-84;-65;-57;-15;560,424;28;2064;2108;1672;1615;1414;1434;902;8,362;40;0,91;13;35;32;0;187,05;98,58;-5;772,2;772,7;807,5;807,8;820,65;820,8
218055;3,9;1350;1086;877;0,056;0,18;0,022;100;154;227;306;393;488;555;-50;-64;-84;-75;-65;4;562,09;23;2108;2075;1717;1618;1487;1466;923;8,916;45;0,93;22;35;32;0;185,83;91,46;-6;772,2;772,7;807,5;807,8;820,65;820,8
218056;3,9;1349;1089;875;0,056;0,18;0,022;99;152;222;301;387;481;547;-44;-54;-74;-85;-65;-11;558,236;24;2089;2061;1725;1671;1467;1463;912;9,484;42;0,92;20;35;31;0;187,28;100,08;-3;772,2;772,7;807,5;807,8;820,65;820,8
218057;4,52;1389;1080;862;0,05;0,19;0,017;99;144;205;270;343;419;471;-44;-54;-74;-45;-65;19;575,945;21;2044;1983;1689;1664;1447;1402;878;10,038;42;0,89;21;35;30;0;193,13;111,97;-17;772,2;772,7;807,5;807,8;820,65;820,8
218058;4,5;1389;1082;866;0,05;0,19;0,017;96;141;201;271;347;422;482;-44;-54;-74;-77;-65;8;579,673;18;1983;1951;1650;1821;1511;1389;863;10,618;44;0,9;23;35;31;0;181,61;116,76;-16;772,2;772,7;807,5;807,8;820,65;820,8
93106;4,9;1515;1069;826;0,16;0,46;0,21;87;126;177;235;302;363;398;-4;7;-54;-65;-65;4;514,562;58;2732;2760;2407;2329;2108;1967;1234;11,192;88;0,95;47;45;62;15;206,45;141,43;-16;772,2;772,7;807,5;807,8;820,65;820,8
93107;4,89;1513;1079;818;0,16;0,46;0,21;81;119;168;223;276;324;357;6;-51;-74,01;-45;-64,99;24;515,781;44;2791;2758;2459;2398;1981;1863;1306;11,712;75;0,95;40;45;53;15;240,08;160,88;-15;772,2;772,7;807,5;807,8;820,65;820,8
93108;4,9;1513;1080;815;0,16;0,46;0,21;86;132;178;229;282;329;358;-1;-54;-74;-24,99;-65;44;514,159;49;2846;2876;2177;2410;2091;1925;1344;12,222;78;0,95;41;45;56;15;237,64;169,87;-15;772,2;772,7;807,5;807,8;820,65;820,8
93109;4,89;1513;1076;813;0,17;0,44;0,19;82;123;173;227;281;328;359;-1;-51;-74;-7,99;-65;24;514,753;51;2806;2818;2397;2412;1997;1779;1396;12,742;79;0,95;29;45;63;15;229,55;166,41;-17;772,2;772,7;807,5;807,8;820,65;820,8
93110;4,9;1512;1057;817;0,17;0,44;0,19;88;134;184;239;297;347;382;-7;-54;-74;-28;-55;22;514,427;41;2912;2959;2428;2407;1991;1785;1419;13,252;70;0,94;23;45;56;15;235,01;166,21;-18;772,2;772,7;807,5;807,8;820,65;820,8
